Promotion Name,Promotion Start Date,Promotion End Date,Class,Store,Product Part #,Revenue 30 Days Prior,Avg Daily Revenue Prior 30 Days,Revenue During Promotion,Avg Daily Revenue During Promotion,Revenue Post 30 Days,Avg Daily Revenue Post 30 Days,# of Units Sold 30 Days Prior,Avg Daily Units Sold Prior 30 Days,# of Units Sold During Promotion,Avg Daily Units Sold During Promotion,# of Units Sold Post 30 Days,Avg Daily Units Sold Post 30 Days,Discount Percent,Impressions,Conversion Rate
NA Cyber 5 - November 2025,2025-11-28,2025-12-03,Filing Cabinets,Wayfair US,LFC-2B,0,0,111.83,18.64,223.45,7.45,0,0,2,0.33,3,0.1,12,10,10
NA Cyber 5 - November 2025,2025-11-28,2025-12-03,Filing Cabinets,Wayfair Canada (English),LFC-2B-680,194.49,6.48,101.01,16.84,301.62,10.05,2,0.07,1,0.17,3,0.1,12,,
NA Cyber 5 - November 2025,2025-11-28,2025-12-03,Filing Cabinets,Wayfair US,LFC-2B-680,0,0,586.73,97.79,304.56,10.15,0,0,7,1.17,3,0.1,12,29,20.689655172413794
NA Cyber 5 - November 2025,2025-11-28,2025-12-03,Filing Cabinets,Wayfair US,LFC-2W,107.86,3.6,555.98,92.66,111.78,3.73,1,0.03,6,1,2,0.07,12,50,8
NA Cyber 5 - November 2025,2025-11-28,2025-12-03,Filing Cabinets,Wayfair US,LFC-2W-680,593.32,19.78,297.95,49.66,609.12,20.3,6,0.2,4,0.67,6,0.2,12,58,3.4482758620689653
NA Cyber 5 - November 2025,2025-11-28,2025-12-03,Filing Cabinets,Wayfair Canada (English),LFC-2W-680,202.89,6.76,98.78,16.46,0,0,2,0.07,1,0.17,0,0,12,14,7.1428571428571423
NA Cyber 5 - November 2025,2025-11-28,2025-12-03,Filing Cabinets,Wayfair US,LFC-3W,257.89,8.6,623.77,103.96,909.17,30.31,2,0.07,6,1,7,0.23,12,35,11.428571428571429
NA Cyber 5 - November 2025,2025-11-28,2025-12-03,Filing Cabinets,Wayfair US,LFC-4W,0,0,-3.52,-0.59,0,0,0,0,1,0.17,0,0,12,11,9.0909090909090917
NA Cyber 5 - November 2025,2025-11-28,2025-12-03,Filing Cabinets,Wayfair US,MFC-D2-B,178.88,5.96,89.05,14.84,646.25,21.54,2,0.07,2,0.33,7,0.23,12,26,7.6923076923076925
NA Cyber 5 - November 2025,2025-11-28,2025-12-03,Filing Cabinets,Wayfair US,MFC-D2-W,89.96,3,-1.93,-0.32,648.32,21.61,1,0.03,1,0.17,7,0.23,12,10,10
